[1667200727.6421607] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, communication_in->central: ordering
[1667200727.7133389] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->communication_out: confirmation
[1667200727.7191925] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200727.7337856] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200727.7479858] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200727.7650836] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200729.6668172] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200729.6813798] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200729.6885977] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200729.7029312] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200729.7197857] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200729.73373] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200729.748067] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200729.7617555] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200729.7761836] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200731.3727877] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200731.3922482] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200731.3981476] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200731.4120007] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200731.429422] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200731.4429421] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200731.4580736] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200731.4727554] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200731.4882743] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200739.9736373] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200739.9888635] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200739.9945853] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200740.008449] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200740.022107] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200740.0363348] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200740.0507205] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200740.0648687] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200740.0816243] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200742.7126055] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200742.732129] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200742.737538] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200742.7558591] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200742.768958] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200742.7821615] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200742.7956505] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200742.8112879] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200742.824406] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200744.4272256] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200744.4418883] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200744.4479027] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200744.4612167] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200744.4746594] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200744.4891536] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200744.5028884] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200744.518375] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200744.532061] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200748.684389] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200748.7001166] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200748.7063844] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200748.7234976] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200748.737663] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps
[1667200748.7513998] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200748.7677495] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200748.7821326] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200748.797023] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200752.843178] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
[1667200752.8648038] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->gps: nonexistent
[1667200752.8704429] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: stop
[1667200752.8855395] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->gps: where_am_i
[1667200752.8995278] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, dd03afb7-327c-4b0f-82b6-ca808a3fde0d->central: gps_error
[1667200752.9128797] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->camera: activate
[1667200754.7202516] id cec21604-55ed-478f-bb9f-efd15f93e0c1, hmi->central: pincoding
[1667200754.7398925] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->sensors: lock_opening
[1667200754.7539349] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 8c243ac5-35d1-40aa-a299-ea2bd610e1ad->central: lock_opening
[1667200754.761035] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, monitor->monitor: policy_error
[1667200759.769038] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 8c243ac5-35d1-40aa-a299-ea2bd610e1ad->central: lock_closing
[1667200759.7870646] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->camera: deactivate
[1667200759.7947118] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->position: count_direction
[1667200759.7952023] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 987f5cd0-a68a-4527-b9df-f2e940642e11->monitor: internal_error
[1667200759.8005202] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, monitor->monitor: policy_error
[1667200759.8126698] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 221f4864-738e-4238-aaa2-9ed3eb757ec1->central: count_direction
[1667200759.8261745] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 28dbbe11-201d-4e49-913b-0a8bf6b156fe->motion: motion_start
[1667200759.847135] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: motion_start
[1667200787.976455] id 094f2047-47ed-4d8f-a8d5-335b2a473dc3, 65fdc533-c96e-46a1-a0bf-b7984d703c27->position: stop
